1619715228.368870, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:29983920 lastrcv:29983920 lastack:29983920 unacked:1 rcv_ssthresh:42340
1619715228.396393, 	 reno wscale:8,9 rto:248 rtt:45.501/22.75 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.5Mbps lastsnd:4 lastrcv:4 lastack:4 pacing_rate 5.1Mbps busy:4ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:45.501
1619715228.428962, 	 reno wscale:8,9 rto:240 rtt:36.554/14.431 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.3Mbps lastrcv:32 pacing_rate 12.7Mbps delivery_rate 3.6Mbps app_limited busy:32ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:22.97
1619715228.455175, 	 reno wscale:8,9 rto:232 rtt:31.532/5.143 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:34 bytes_acked:34753 segs_out:60 segs_in:13 data_segs_out:58 send 12.5Mbps lastrcv:60 pacing_rate 25.0Mbps delivery_rate 6.2Mbps busy:60ms unacked:34 rcv_space:14480 rcv_ssthresh:42242 notsent:55024 minrtt:22.923
1619715228.483003, 	 reno wscale:8,9 rto:232 rtt:30.76/2.263 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:56 bytes_acked:66609 segs_out:103 segs_in:24 data_segs_out:101 send 21.1Mbps lastsnd:4 lastrcv:88 lastack:4 pacing_rate 42.2Mbps delivery_rate 9.5Mbps busy:88ms unacked:55 rcv_space:14480 rcv_ssthresh:42242 notsent:304080 minrtt:22.923
1619715228.514914, 	 reno wscale:8,9 rto:244 rtt:43.196/7.399 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:86 bytes_acked:110049 segs_out:163 segs_in:39 data_segs_out:161 send 23.1Mbps lastrcv:124 pacing_rate 46.1Mbps delivery_rate 9.7Mbps busy:124ms unacked:85 rcv_space:14480 rcv_ssthresh:42242 notsent:477840 minrtt:22.923
1619715228.548373, 	 reno wscale:8,9 rto:256 rtt:55.638/10.633 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:111 bytes_acked:146249 segs_out:214 segs_in:49 data_segs_out:212 send 23.1Mbps lastrcv:152 pacing_rate 46.2Mbps delivery_rate 9.6Mbps busy:152ms unacked:111 rcv_space:14480 rcv_ssthresh:42242 notsent:403992 minrtt:22.923
1619715228.576015, 	 reno wscale:8,9 rto:272 rtt:68.42/13.234 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:135 bytes_acked:181001 segs_out:262 segs_in:57 data_segs_out:260 send 22.9Mbps lastrcv:180 pacing_rate 45.7Mbps delivery_rate 9.6Mbps busy:180ms unacked:135 rcv_space:14480 rcv_ssthresh:42242 notsent:595128 minrtt:22.923
1619715228.604900, 	 reno wscale:8,9 rto:284 rtt:82.023/13.983 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:159 bytes_acked:215753 segs_out:310 segs_in:65 data_segs_out:308 send 22.5Mbps lastrcv:212 pacing_rate 44.9Mbps delivery_rate 9.6Mbps busy:212ms unacked:159 rcv_space:14480 rcv_ssthresh:42242 notsent:525624 minrtt:22.923
1619715228.635881, 	 reno wscale:8,9 rto:300 rtt:96.106/14.005 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:183 bytes_acked:250505 segs_out:358 segs_in:73 data_segs_out:356 send 22.1Mbps lastrcv:240 pacing_rate 44.1Mbps delivery_rate 9.7Mbps busy:240ms unacked:183 rcv_space:14480 rcv_ssthresh:42242 notsent:521280 minrtt:22.923
1619715228.663535, 	 reno wscale:8,9 rto:312 rtt:109.591/15.451 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:204 bytes_acked:280913 segs_out:400 segs_in:80 data_segs_out:398 send 21.6Mbps lastsnd:4 lastrcv:268 lastack:4 pacing_rate 43.1Mbps delivery_rate 9.5Mbps busy:268ms unacked:204 rcv_space:14480 rcv_ssthresh:42242 notsent:460464 minrtt:22.923
