1619717669.345647, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32424900 lastrcv:32424900 lastack:32424900 unacked:1 rcv_ssthresh:42340
1619717669.377619, 	 reno wscale:8,9 rto:248 rtt:44.239/22.119 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.6Mbps lastsnd:8 lastrcv:8 lastack:8 pacing_rate 5.2Mbps busy:8ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:44.239
1619717669.410723, 	 reno wscale:8,9 rto:236 rtt:33.442/12.309 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 bytes_acked:20273 segs_out:40 segs_in:8 data_segs_out:38 send 8.3Mbps lastrcv:48 pacing_rate 16.6Mbps delivery_rate 5.5Mbps busy:48ms unacked:24 rcv_space:14480 rcv_ssthresh:42242 notsent:55024 minrtt:21.827
1619717669.453699, 	 reno wscale:8,9 rto:236 rtt:32.797/2.535 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:54 bytes_acked:63713 segs_out:98 segs_in:23 data_segs_out:96 send 19.1Mbps lastrcv:88 pacing_rate 38.1Mbps delivery_rate 9.0Mbps busy:88ms unacked:52 rcv_space:14480 rcv_ssthresh:42242 notsent:317112 minrtt:21.827
1619717669.488858, 	 reno wscale:8,9 rto:248 rtt:44.816/7.469 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:86 bytes_acked:110049 segs_out:164 segs_in:39 data_segs_out:162 send 22.2Mbps lastrcv:128 pacing_rate 44.5Mbps delivery_rate 9.5Mbps busy:128ms unacked:86 rcv_space:14480 rcv_ssthresh:42242 notsent:482184 minrtt:21.827
1619717669.532858, 	 reno wscale:8,9 rto:264 rtt:61.308/9.802 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:121 bytes_acked:160729 segs_out:233 segs_in:53 data_segs_out:231 send 22.9Mbps lastrcv:168 pacing_rate 45.7Mbps delivery_rate 9.9Mbps busy:168ms unacked:120 rcv_space:14480 rcv_ssthresh:42242 notsent:708072 minrtt:21.827
1619717669.564124, 	 reno wscale:8,9 rto:276 rtt:73.142/12.95 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:142 bytes_acked:191137 segs_out:275 segs_in:60 data_segs_out:273 send 22.5Mbps lastsnd:4 lastrcv:196 lastack:4 pacing_rate 45.0Mbps delivery_rate 9.6Mbps busy:196ms unacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:647256 minrtt:21.827
1619717669.592782, 	 reno wscale:8,9 rto:288 rtt:87.329/14.135 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:166 bytes_acked:225889 segs_out:323 segs_in:68 data_segs_out:321 send 22.0Mbps lastrcv:224 pacing_rate 44.0Mbps delivery_rate 9.6Mbps busy:224ms unacked:165 rcv_space:14480 rcv_ssthresh:42242 notsent:968712 minrtt:21.827
1619717669.619676, 	 reno wscale:8,9 rto:304 rtt:101.97/14.225 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:190 bytes_acked:260641 segs_out:371 segs_in:76 data_segs_out:369 send 21.6Mbps lastrcv:252 pacing_rate 43.2Mbps delivery_rate 9.6Mbps busy:252ms unacked:189 rcv_space:14480 rcv_ssthresh:42242 notsent:899208 minrtt:21.827
1619717669.648685, 	 reno wscale:8,9 rto:316 rtt:114.228/14.277 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:211 bytes_acked:291049 segs_out:413 segs_in:83 data_segs_out:411 send 21.4Mbps lastrcv:280 pacing_rate 42.8Mbps delivery_rate 9.6Mbps busy:280ms unacked:210 rcv_space:14480 rcv_ssthresh:42242 notsent:1294512 minrtt:21.827
1619717669.674553, 	 reno wscale:8,9 rto:332 rtt:131.187/14.927 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:238 bytes_acked:330145 segs_out:467 segs_in:92 data_segs_out:465 send 21.0Mbps lastrcv:312 pacing_rate 42.0Mbps delivery_rate 9.4Mbps busy:312ms unacked:237 rcv_space:14480 rcv_ssthresh:42242 notsent:1216320 minrtt:21.827
