1619715095.195047, 	 reno wscale:8,9 rto:400 rtt:198.271/15.035 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:348 bytes_acked:489425 segs_out:688 segs_in:128 data_segs_out:686 send 20.3Mbps lastrcv:440 pacing_rate 40.7Mbps delivery_rate 9.5Mbps busy:440ms unacked:348 rcv_space:14480 rcv_ssthresh:42242 notsent:173760 minrtt:21.89
1619715095.223987, 	 reno wscale:8,9 rto:416 rtt:212.47/14.022 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:372 bytes_acked:524177 segs_out:736 segs_in:136 data_segs_out:734 send 20.3Mbps lastrcv:468 pacing_rate 40.6Mbps delivery_rate 9.6Mbps busy:468ms unacked:372 rcv_space:14480 rcv_ssthresh:42242 notsent:104256 minrtt:21.89
1619715095.253048, 	 reno wscale:8,9 rto:424 rtt:223.176/12.968 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:393 bytes_acked:554585 segs_out:778 segs_in:143 data_segs_out:776 send 20.4Mbps lastsnd:4 lastrcv:496 lastack:4 pacing_rate 40.8Mbps delivery_rate 9.7Mbps busy:496ms unacked:393 rcv_space:14480 rcv_ssthresh:42242 notsent:130320 minrtt:21.89
1619715095.281189, 	 reno wscale:8,9 rto:444 rtt:240.515/15.224 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:420 bytes_acked:593681 segs_out:832 segs_in:152 data_segs_out:830 send 20.2Mbps lastrcv:528 lastack:4 pacing_rate 40.5Mbps delivery_rate 9.5Mbps busy:528ms unacked:420 rcv_space:14480 rcv_ssthresh:42242 notsent:52128 minrtt:21.89
1619715095.309012, 	 reno wscale:8,9 rto:456 rtt:255.733/14.983 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:444 bytes_acked:628433 segs_out:880 segs_in:160 data_segs_out:878 send 20.1Mbps lastrcv:556 pacing_rate 40.2Mbps delivery_rate 9.6Mbps busy:556ms unacked:444 rcv_space:14480 rcv_ssthresh:42242 notsent:47784 minrtt:21.89
1619715095.342122, 	 reno wscale:8,9 rto:472 rtt:269.695/13.935 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:468 bytes_acked:663185 segs_out:928 segs_in:168 data_segs_out:926 send 20.1Mbps lastsnd:4 lastrcv:588 lastack:4 pacing_rate 40.2Mbps delivery_rate 9.6Mbps busy:588ms unacked:468 rcv_space:14480 rcv_ssthresh:42242 notsent:3110304 minrtt:21.89
1619715095.372280, 	 reno wscale:8,9 rto:488 rtt:285.979/14.432 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:495 bytes_acked:702281 segs_out:982 segs_in:177 data_segs_out:980 send 20.1Mbps lastsnd:4 lastrcv:620 lastack:4 pacing_rate 40.1Mbps delivery_rate 9.5Mbps busy:620ms unacked:495 rcv_space:14480 rcv_ssthresh:42242 notsent:3032112 minrtt:21.89
1619715095.401156, 	 reno wscale:8,9 rto:504 rtt:301.113/14.979 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:519 bytes_acked:737033 segs_out:1030 segs_in:185 data_segs_out:1028 send 20.0Mbps lastrcv:648 pacing_rate 39.9Mbps delivery_rate 9.5Mbps busy:648ms unacked:519 rcv_space:14480 rcv_ssthresh:42242 notsent:3027768 minrtt:21.89
1619715095.434297, 	 reno wscale:8,9 rto:524 rtt:320.118/14.445 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:549 bytes_acked:780473 segs_out:1090 segs_in:195 data_segs_out:1088 send 19.9Mbps lastrcv:684 pacing_rate 39.7Mbps delivery_rate 9.6Mbps busy:684ms unacked:549 rcv_space:14480 rcv_ssthresh:42242 notsent:2940888 minrtt:21.89
1619715095.473238, 	 reno wscale:8,9 rto:532 rtt:331.057/7.349 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:519 ssthresh:277 bytes_acked:789161 segs_out:1114 segs_in:205 data_segs_out:1112 send 18.2Mbps lastrcv:720 pacing_rate 23.3Mbps delivery_rate 9.5Mbps busy:720ms unacked:555 retrans:12/12 lost:24 sacked:24 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.506171, 	 reno wscale:8,9 rto:536 rtt:334.166/1.877 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:461 ssthresh:277 bytes_acked:789161 segs_out:1134 segs_in:218 data_segs_out:1132 send 16.0Mbps lastrcv:768 pacing_rate 23.1Mbps delivery_rate 9.6Mbps busy:768ms unacked:555 retrans:32/32 lost:63 sacked:63 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.553626, 	 reno wscale:8,9 rto:540 rtt:336.619/3.344 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:426 ssthresh:277 bytes_acked:789161 segs_out:1147 segs_in:227 data_segs_out:1145 send 14.7Mbps lastrcv:800 pacing_rate 22.9Mbps delivery_rate 9.5Mbps busy:800ms unacked:555 retrans:45/45 lost:84 sacked:90 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.585192, 	 reno wscale:8,9 rto:540 rtt:338.968/2 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:390 ssthresh:277 bytes_acked:789161 segs_out:1159 segs_in:235 data_segs_out:1157 send 13.3Mbps lastrcv:832 pacing_rate 22.8Mbps delivery_rate 9.5Mbps busy:832ms unacked:555 retrans:57/57 lost:108 sacked:114 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
1619715095.618179, 	 reno wscale:8,9 rto:544 rtt:340.158/1.255 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:350 ssthresh:277 bytes_acked:789161 segs_out:1173 segs_in:244 data_segs_out:1171 send 11.9Mbps lastrcv:864 pacing_rate 22.7Mbps delivery_rate 9.5Mbps busy:864ms unacked:555 retrans:71/71 lost:135 sacked:141 rcv_space:14480 rcv_ssthresh:42242 notsent:2923512 minrtt:21.89
