1619718383.562042, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:33139272 lastrcv:33139272 lastack:33139272 unacked:1 rcv_ssthresh:42340
1619718383.757496, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:33139312 lastrcv:33139312 lastack:33139312 unacked:1 rcv_ssthresh:42340
1619718383.792373, 	 reno wscale:8,9 rto:240 rtt:39.498/20.546 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 bytes_acked:8689 segs_out:24 segs_in:4 data_segs_out:22 send 4.7Mbps lastrcv:28 pacing_rate 9.4Mbps delivery_rate 2.6Mbps app_limited busy:28ms unacked:16 rcv_space:14480 rcv_ssthresh:42242 notsent:78192 minrtt:22.158
1619718383.817735, 	 reno wscale:8,9 rto:232 rtt:31.186/10.151 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 bytes_acked:28961 segs_out:52 segs_in:11 data_segs_out:50 send 11.1Mbps lastrcv:52 pacing_rate 22.3Mbps delivery_rate 6.0Mbps busy:52ms unacked:30 rcv_space:14480 rcv_ssthresh:42242 notsent:37648 minrtt:22.158
1619718383.848449, 	 reno wscale:8,9 rto:232 rtt:30.895/2.653 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:56 bytes_acked:66609 segs_out:102 segs_in:24 data_segs_out:100 send 21.0Mbps lastrcv:88 pacing_rate 42.0Mbps delivery_rate 9.4Mbps busy:88ms unacked:54 rcv_space:14480 rcv_ssthresh:42242 notsent:299736 minrtt:22.158
1619718383.881214, 	 reno wscale:8,9 rto:244 rtt:42.102/7.444 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:82 bytes_acked:104257 segs_out:154 segs_in:37 data_segs_out:152 send 22.6Mbps lastrcv:120 pacing_rate 45.1Mbps delivery_rate 9.4Mbps busy:120ms unacked:80 rcv_space:14480 rcv_ssthresh:42242 notsent:485080 minrtt:22.158
1619718383.914306, 	 reno wscale:8,9 rto:256 rtt:54.062/10.002 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:107 bytes_acked:140457 segs_out:206 segs_in:47 data_segs_out:204 send 22.9Mbps lastrcv:148 pacing_rate 45.9Mbps delivery_rate 9.6Mbps busy:148ms unacked:107 rcv_space:14480 rcv_ssthresh:42242 notsent:409784 minrtt:22.158
1619718383.942299, 	 reno wscale:8,9 rto:268 rtt:66.085/12.499 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:131 bytes_acked:175209 segs_out:252 segs_in:55 data_segs_out:250 send 23.0Mbps lastsnd:4 lastrcv:180 lastack:4 pacing_rate 45.9Mbps delivery_rate 9.7Mbps busy:180ms unacked:129 rcv_space:14480 rcv_ssthresh:42242 notsent:799296 minrtt:22.158
1619718383.969371, 	 reno wscale:8,9 rto:280 rtt:79.421/13.123 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:153 bytes_acked:207065 segs_out:297 segs_in:63 data_segs_out:295 send 22.3Mbps lastsnd:4 lastrcv:208 lastack:4 pacing_rate 44.6Mbps delivery_rate 9.6Mbps busy:208ms unacked:152 rcv_space:14480 rcv_ssthresh:42242 notsent:734136 minrtt:22.158
1619718383.998232, 	 reno wscale:8,9 rto:296 rtt:93.639/13.578 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:177 bytes_acked:241817 segs_out:345 segs_in:71 data_segs_out:343 send 21.9Mbps lastsnd:4 lastrcv:236 lastack:4 pacing_rate 43.8Mbps delivery_rate 9.6Mbps busy:236ms unacked:176 rcv_space:14480 rcv_ssthresh:42242 notsent:1055592 minrtt:22.158
1619718384.026805, 	 reno wscale:8,9 rto:308 rtt:107.198/13.197 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:199 bytes_acked:273673 segs_out:390 segs_in:79 data_segs_out:388 send 21.5Mbps lastsnd:4 lastrcv:264 lastack:4 pacing_rate 43.0Mbps delivery_rate 9.7Mbps busy:264ms unacked:199 rcv_space:14480 rcv_ssthresh:42242 notsent:990432 minrtt:22.158
