1619716436.311182, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:31191872 lastrcv:31191872 lastack:31191872 unacked:1 rcv_ssthresh:42340
1619716436.353616, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:31191904 lastrcv:31191904 lastack:31191904 unacked:1 rcv_ssthresh:42340
1619716436.381611, 	 reno wscale:8,9 rto:252 rtt:48.611/24.305 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.4Mbps lastsnd:16 lastrcv:16 lastack:16 pacing_rate 4.8Mbps busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:48.611
1619716436.412788, 	 reno wscale:8,9 rto:240 rtt:39.132/15.55 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 5.9Mbps lastsnd:16 lastrcv:48 lastack:16 pacing_rate 11.8Mbps delivery_rate 3.5Mbps app_limited busy:48ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:25.82
1619716436.449433, 	 reno wscale:8,9 rto:232 rtt:30.945/2.962 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:52 bytes_acked:60817 segs_out:94 segs_in:22 data_segs_out:92 send 19.5Mbps lastrcv:84 pacing_rate 38.9Mbps delivery_rate 9.4Mbps busy:84ms unacked:50 rcv_space:14480 rcv_ssthresh:42242 notsent:317112 minrtt:24.028
1619716436.490903, 	 reno wscale:8,9 rto:240 rtt:39.525/4.452 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:43 ssthresh:33 bytes_acked:81089 segs_out:134 segs_in:37 data_segs_out:132 send 12.6Mbps lastrcv:124 pacing_rate 23.9Mbps delivery_rate 9.2Mbps busy:124ms unacked:68 retrans:8/8 lost:16 sacked:17 rcv_space:14480 rcv_ssthresh:42242 notsent:270776 minrtt:24.028
1619716436.524582, 	 reno wscale:8,9 rto:248 rtt:45.094/4.92 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:33 ssthresh:33 bytes_acked:92673 segs_out:161 segs_in:48 data_segs_out:159 send 8.5Mbps lastrcv:160 pacing_rate 21.3Mbps delivery_rate 9.3Mbps busy:160ms unacked:70 retrans:23/25 lost:23 sacked:37 rcv_space:14480 rcv_ssthresh:42242 notsent:451776 minrtt:24.028
1619716436.556807, 	 reno wscale:8,9 rto:240 rtt:37.593/5.108 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:27 ssthresh:33 bytes_acked:94121 segs_out:187 segs_in:67 data_segs_out:185 send 8.3Mbps lastrcv:192 pacing_rate 32.2Mbps delivery_rate 6.2Mbps busy:192ms unacked:89 retrans:6/31 lost:6 sacked:62 rcv_space:14480 rcv_ssthresh:42242 notsent:422816 minrtt:24.028
1619716436.585928, 	 reno wscale:8,9 rto:232 rtt:31.284/2.848 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:30 ssthresh:33 bytes_acked:105705 segs_out:215 segs_in:84 data_segs_out:213 send 11.1Mbps lastrcv:216 pacing_rate 46.2Mbps delivery_rate 9.6Mbps busy:216ms unacked:106 retrans:3/34 lost:3 sacked:76 rcv_space:14480 rcv_ssthresh:42242 notsent:386616 minrtt:24.028
1619716436.612753, 	 reno wscale:8,9 rto:232 rtt:31.766/1.6 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:25 ssthresh:16 bytes_acked:199825 segs_out:237 segs_in:100 data_segs_out:235 send 9.1Mbps lastrcv:244 pacing_rate 25.8Mbps delivery_rate 9.6Mbps busy:244ms unacked:59 retrans:4/38 lost:4 sacked:34 rcv_space:14480 rcv_ssthresh:42242 notsent:360552 minrtt:24.028
1619716436.640610, 	 reno wscale:8,9 rto:232 rtt:31.613/1.241 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:14 ssthresh:16 bytes_acked:199825 segs_out:252 segs_in:117 data_segs_out:250 send 5.1Mbps lastrcv:276 pacing_rate 31.2Mbps delivery_rate 8.3Mbps busy:276ms unacked:72 retrans:2/40 lost:2 sacked:58 rcv_space:14480 rcv_ssthresh:42242 notsent:472048 minrtt:24.028
1619716436.674411, 	 reno wscale:8,9 rto:224 rtt:23.849/1.153 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 ssthresh:16 bytes_acked:314217 segs_out:275 segs_in:137 data_segs_out:273 send 7.8Mbps lastrcv:308 pacing_rate 9.3Mbps delivery_rate 7.0Mbps busy:308ms unacked:16 retrans:0/40 rcv_space:14480 rcv_ssthresh:42242 notsent:569064 minrtt:21.139
