1619718832.542177, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:33588108 lastrcv:33588108 lastack:33588108 unacked:1 rcv_ssthresh:42340
1619718832.585480, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:33588136 lastrcv:33588136 lastack:33588136 unacked:1 rcv_ssthresh:42340
1619718832.613055, 	 reno wscale:8,9 rto:248 rtt:45.315/22.657 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.6Mbps lastsnd:12 lastrcv:12 lastack:12 pacing_rate 5.1Mbps busy:12ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:45.315
1619718832.642215, 	 reno wscale:8,9 rto:240 rtt:36.801/14.147 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.3Mbps lastsnd:8 lastrcv:40 lastack:8 pacing_rate 12.6Mbps delivery_rate 3.7Mbps app_limited busy:40ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:23.835
1619718832.670210, 	 reno wscale:8,9 rto:232 rtt:29.954/3.994 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:44 bytes_acked:49233 segs_out:80 segs_in:18 data_segs_out:78 send 17.0Mbps lastrcv:72 pacing_rate 34.0Mbps delivery_rate 10.1Mbps busy:72ms unacked:44 rcv_space:14480 rcv_ssthresh:42242 notsent:28960 minrtt:22.056
1619718832.702223, 	 reno wscale:8,9 rto:236 rtt:35.642/6.079 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:70 bytes_acked:86881 segs_out:132 segs_in:31 data_segs_out:130 send 22.8Mbps lastrcv:104 pacing_rate 45.5Mbps delivery_rate 9.4Mbps busy:104ms unacked:70 rcv_space:14480 rcv_ssthresh:42242 notsent:256296 minrtt:22.056
1619718832.734313, 	 reno wscale:8,9 rto:252 rtt:48.697/8.407 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:95 bytes_acked:123081 segs_out:182 segs_in:43 data_segs_out:180 send 22.6Mbps lastsnd:4 lastrcv:136 lastack:4 pacing_rate 45.2Mbps delivery_rate 9.9Mbps busy:136ms unacked:95 rcv_space:14480 rcv_ssthresh:42242 notsent:444536 minrtt:22.056
1619718832.763100, 	 reno wscale:8,9 rto:260 rtt:59.728/11.151 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:119 bytes_acked:157833 segs_out:228 segs_in:51 data_segs_out:226 send 23.1Mbps lastsnd:4 lastrcv:164 lastack:4 pacing_rate 46.2Mbps delivery_rate 9.7Mbps busy:164ms unacked:117 rcv_space:14480 rcv_ssthresh:42242 notsent:834048 minrtt:22.056
1619718832.791170, 	 reno wscale:8,9 rto:276 rtt:74.529/13.314 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:146 bytes_acked:196929 segs_out:282 segs_in:60 data_segs_out:280 send 22.7Mbps lastrcv:192 pacing_rate 45.4Mbps delivery_rate 9.6Mbps busy:192ms unacked:144 rcv_space:14480 rcv_ssthresh:42242 notsent:755856 minrtt:22.056
1619718832.821215, 	 reno wscale:8,9 rto:288 rtt:86.566/14.041 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:167 bytes_acked:227337 segs_out:326 segs_in:67 data_segs_out:324 send 22.3Mbps lastrcv:220 pacing_rate 44.7Mbps delivery_rate 9.5Mbps busy:220ms unacked:167 rcv_space:14480 rcv_ssthresh:42242 notsent:1148264 minrtt:22.056
1619718832.849076, 	 reno wscale:8,9 rto:304 rtt:101.775/15.352 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:190 bytes_acked:260641 segs_out:372 segs_in:75 data_segs_out:370 send 21.6Mbps lastrcv:248 pacing_rate 43.3Mbps delivery_rate 9.5Mbps busy:248ms unacked:190 rcv_space:14480 rcv_ssthresh:42242 notsent:1081656 minrtt:22.056
