1619717388.454910, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32144040 lastrcv:32144040 lastack:32144040 unacked:1 rcv_ssthresh:42340
1619717388.516242, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32144072 lastrcv:32144072 lastack:32144072 unacked:1 rcv_ssthresh:42340
1619717388.550272, 	 reno wscale:8,9 rto:236 rtt:35.657/13.657 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.5Mbps lastrcv:32 pacing_rate 13.0Mbps delivery_rate 3.7Mbps app_limited busy:32ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:22.222
1619717388.581274, 	 reno wscale:8,9 rto:232 rtt:30.352/3.831 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:38 bytes_acked:40545 segs_out:68 segs_in:15 data_segs_out:66 send 14.5Mbps lastsnd:4 lastrcv:64 lastack:4 pacing_rate 29.0Mbps delivery_rate 6.7Mbps busy:64ms unacked:38 rcv_space:14480 rcv_ssthresh:42242 notsent:46336 minrtt:21.739
1619717388.614227, 	 reno wscale:8,9 rto:236 rtt:34.497/5.263 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:68 bytes_acked:83985 segs_out:126 segs_in:30 data_segs_out:124 send 22.8Mbps lastrcv:100 pacing_rate 45.7Mbps delivery_rate 9.8Mbps busy:100ms unacked:66 rcv_space:14480 rcv_ssthresh:42242 notsent:264984 minrtt:21.739
1619717388.651225, 	 reno wscale:8,9 rto:252 rtt:50.002/8.715 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:98 bytes_acked:127425 segs_out:188 segs_in:44 data_segs_out:186 send 22.7Mbps lastrcv:132 pacing_rate 45.4Mbps delivery_rate 9.7Mbps busy:132ms unacked:98 rcv_space:14480 rcv_ssthresh:42242 notsent:435848 minrtt:21.739
1619717388.684594, 	 reno wscale:8,9 rto:264 rtt:61.505/12.012 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:122 bytes_acked:162177 segs_out:234 segs_in:52 data_segs_out:232 send 23.0Mbps lastrcv:164 pacing_rate 46.0Mbps delivery_rate 9.5Mbps busy:164ms unacked:120 rcv_space:14480 rcv_ssthresh:42242 notsent:825360 minrtt:21.739
1619717388.713229, 	 reno wscale:8,9 rto:276 rtt:74.47/12.781 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:146 bytes_acked:196929 segs_out:282 segs_in:60 data_segs_out:280 send 22.7Mbps lastrcv:192 pacing_rate 45.4Mbps delivery_rate 9.9Mbps busy:192ms unacked:144 rcv_space:14480 rcv_ssthresh:42242 notsent:755856 minrtt:21.739
1619717388.741235, 	 reno wscale:8,9 rto:292 rtt:89.496/14.006 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:173 bytes_acked:236025 segs_out:338 segs_in:69 data_segs_out:336 send 22.4Mbps lastsnd:4 lastrcv:228 lastack:4 pacing_rate 44.8Mbps delivery_rate 9.6Mbps busy:228ms unacked:173 rcv_space:14480 rcv_ssthresh:42242 notsent:1065728 minrtt:21.739
1619717388.775777, 	 reno wscale:8,9 rto:308 rtt:107.046/14.784 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:199 bytes_acked:273673 segs_out:390 segs_in:78 data_segs_out:388 send 21.5Mbps lastrcv:256 pacing_rate 43.1Mbps delivery_rate 9.5Mbps busy:256ms unacked:199 rcv_space:14480 rcv_ssthresh:42242 notsent:990432 minrtt:21.739
1619717388.804749, 	 reno wscale:8,9 rto:324 rtt:121.26/14.166 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:223 bytes_acked:308425 segs_out:438 segs_in:86 data_segs_out:436 send 21.3Mbps lastsnd:4 lastrcv:288 lastack:4 pacing_rate 42.6Mbps delivery_rate 9.6Mbps busy:288ms unacked:223 rcv_space:14480 rcv_ssthresh:42242 notsent:1181568 minrtt:21.739
