1619717952.160748, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32707712 lastrcv:32707712 lastack:32707712 unacked:1 rcv_ssthresh:42340
1619717952.192701, 	 reno wscale:8,9 rto:248 rtt:45.381/22.69 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.6Mbps lastsnd:12 lastrcv:16 lastack:16 pacing_rate 5.1Mbps busy:12ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:45.381
1619717952.220802, 	 reno wscale:8,9 rto:236 rtt:33.167/13.274 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:24 bytes_acked:20273 segs_out:40 segs_in:8 data_segs_out:38 send 8.4Mbps lastrcv:48 pacing_rate 16.8Mbps delivery_rate 5.6Mbps busy:44ms unacked:24 rcv_space:14480 rcv_ssthresh:42242 notsent:55024 minrtt:21.537
1619717952.253655, 	 reno wscale:8,9 rto:232 rtt:29.887/2.325 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:50 bytes_acked:57921 segs_out:91 segs_in:21 data_segs_out:89 send 19.4Mbps lastrcv:80 pacing_rate 38.8Mbps delivery_rate 9.3Mbps busy:76ms unacked:49 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:21.537
1619717952.285457, 	 reno wscale:8,9 rto:240 rtt:37.184/6.83 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:74 bytes_acked:92673 segs_out:139 segs_in:33 data_segs_out:137 send 23.1Mbps lastsnd:4 lastrcv:112 lastack:4 pacing_rate 46.1Mbps delivery_rate 9.7Mbps busy:108ms unacked:73 rcv_space:14480 rcv_ssthresh:42242 notsent:512592 minrtt:21.537
1619717952.317664, 	 reno wscale:8,9 rto:252 rtt:50.951/9.076 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:99 bytes_acked:128873 segs_out:190 segs_in:45 data_segs_out:188 send 22.5Mbps lastsnd:4 lastrcv:140 lastack:4 pacing_rate 45.0Mbps delivery_rate 9.9Mbps busy:136ms unacked:99 rcv_space:14480 rcv_ssthresh:42242 notsent:438744 minrtt:21.537
1619717952.345902, 	 reno wscale:8,9 rto:264 rtt:63.3/11.184 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:126 bytes_acked:167969 segs_out:244 segs_in:54 data_segs_out:242 send 23.1Mbps lastrcv:172 pacing_rate 46.1Mbps delivery_rate 9.8Mbps busy:168ms unacked:126 rcv_space:14480 rcv_ssthresh:42242 notsent:621192 minrtt:21.537
1619717952.378691, 	 reno wscale:8,9 rto:280 rtt:78.453/12.843 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:153 bytes_acked:207065 segs_out:298 segs_in:63 data_segs_out:296 send 22.6Mbps lastrcv:204 pacing_rate 45.2Mbps delivery_rate 9.8Mbps busy:200ms unacked:153 rcv_space:14480 rcv_ssthresh:42242 notsent:543000 minrtt:21.537
1619717952.407689, 	 reno wscale:8,9 rto:296 rtt:92.092/13.51 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:177 bytes_acked:241817 segs_out:346 segs_in:71 data_segs_out:344 send 22.3Mbps lastrcv:232 pacing_rate 44.5Mbps delivery_rate 9.7Mbps busy:228ms unacked:177 rcv_space:14480 rcv_ssthresh:42242 notsent:473496 minrtt:21.537
1619717952.437270, 	 reno wscale:8,9 rto:308 rtt:107.444/14.486 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:201 bytes_acked:276569 segs_out:394 segs_in:79 data_segs_out:392 send 21.7Mbps lastrcv:260 pacing_rate 43.3Mbps delivery_rate 9.7Mbps busy:256ms unacked:201 rcv_space:14480 rcv_ssthresh:42242 notsent:403992 minrtt:21.537
1619717952.465798, 	 reno wscale:8,9 rto:324 rtt:122.14/14.312 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:225 bytes_acked:311321 segs_out:442 segs_in:87 data_segs_out:440 send 21.3Mbps lastrcv:292 pacing_rate 42.7Mbps delivery_rate 9.6Mbps busy:288ms unacked:225 rcv_space:14480 rcv_ssthresh:42242 notsent:399648 minrtt:21.537
1619717952.499779, 	 reno wscale:8,9 rto:340 rtt:139.008/14.637 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:252 bytes_acked:350417 segs_out:496 segs_in:96 data_segs_out:494 send 21.0Mbps lastrcv:324 pacing_rate 42.0Mbps delivery_rate 9.6Mbps busy:320ms unacked:252 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:21.537
1619717952.531688, 	 reno wscale:8,9 rto:360 rtt:156.777/14.052 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:282 bytes_acked:393857 segs_out:556 segs_in:106 data_segs_out:554 send 20.8Mbps lastrcv:360 pacing_rate 41.7Mbps delivery_rate 9.7Mbps busy:356ms unacked:282 rcv_space:14480 rcv_ssthresh:42242 notsent:299736 minrtt:21.537
1619717952.564802, 	 reno wscale:8,9 rto:372 rtt:171.628/14.802 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:306 bytes_acked:428609 segs_out:604 segs_in:114 data_segs_out:602 send 20.7Mbps lastrcv:388 pacing_rate 41.3Mbps delivery_rate 9.6Mbps busy:384ms unacked:306 rcv_space:14480 rcv_ssthresh:42242 notsent:295392 minrtt:21.537
1619717952.595921, 	 reno wscale:8,9 rto:392 rtt:189.725/14.926 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:336 bytes_acked:472049 segs_out:664 segs_in:124 data_segs_out:662 send 20.5Mbps lastsnd:4 lastrcv:428 lastack:4 pacing_rate 41.0Mbps delivery_rate 9.5Mbps busy:424ms unacked:336 rcv_space:14480 rcv_ssthresh:42242 notsent:208512 minrtt:21.537
1619717952.634770, 	 reno wscale:8,9 rto:408 rtt:207.431/14.288 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:366 bytes_acked:515489 segs_out:724 segs_in:134 data_segs_out:722 send 20.4Mbps lastrcv:460 pacing_rate 40.9Mbps delivery_rate 9.6Mbps busy:456ms unacked:366 rcv_space:14480 rcv_ssthresh:42242 notsent:121632 minrtt:21.537
1619717952.665170, 	 reno wscale:8,9 rto:424 rtt:223.733/14.375 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:393 bytes_acked:554585 segs_out:778 segs_in:143 data_segs_out:776 send 20.3Mbps lastsnd:4 lastrcv:496 lastack:4 pacing_rate 40.7Mbps delivery_rate 9.6Mbps busy:492ms unacked:393 rcv_space:14480 rcv_ssthresh:42242 notsent:43440 minrtt:21.537
1619717952.698784, 	 reno wscale:8,9 rto:444 rtt:240.342/14.552 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:420 bytes_acked:593681 segs_out:832 segs_in:152 data_segs_out:830 send 20.2Mbps lastrcv:528 pacing_rate 40.5Mbps delivery_rate 9.6Mbps busy:524ms unacked:420 rcv_space:14480 rcv_ssthresh:42242 notsent:60816 minrtt:21.537
1619717952.732846, 	 reno wscale:8,9 rto:456 rtt:255.338/15.409 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:444 bytes_acked:628433 segs_out:880 segs_in:160 data_segs_out:878 send 20.1Mbps lastsnd:4 lastrcv:560 lastack:4 pacing_rate 40.3Mbps delivery_rate 9.5Mbps busy:556ms unacked:444 rcv_space:14480 rcv_ssthresh:42242 notsent:56472 minrtt:21.537
1619717952.765848, 	 reno wscale:8,9 rto:476 rtt:273.911/14.545 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:474 bytes_acked:671873 segs_out:940 segs_in:170 data_segs_out:938 send 20.0Mbps lastrcv:592 pacing_rate 40.1Mbps delivery_rate 9.5Mbps busy:588ms unacked:474 rcv_space:14480 rcv_ssthresh:42242 notsent:3101616 minrtt:21.537
1619717952.798830, 	 reno wscale:8,9 rto:492 rtt:290.437/14.986 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:501 bytes_acked:710969 segs_out:994 segs_in:179 data_segs_out:992 send 20.0Mbps lastrcv:628 pacing_rate 40.0Mbps delivery_rate 9.5Mbps busy:624ms unacked:501 rcv_space:14480 rcv_ssthresh:42242 notsent:3023424 minrtt:21.537
1619717952.830101, 	 reno wscale:8,9 rto:508 rtt:304.491/14.232 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:525 bytes_acked:745721 segs_out:1042 segs_in:187 data_segs_out:1040 send 20.0Mbps lastrcv:656 pacing_rate 39.9Mbps delivery_rate 9.5Mbps busy:652ms unacked:525 rcv_space:14480 rcv_ssthresh:42242 notsent:3019080 minrtt:21.537
1619717952.863045, 	 reno wscale:8,9 rto:524 rtt:323.379/14.549 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:555 bytes_acked:789161 segs_out:1102 segs_in:197 data_segs_out:1100 send 19.9Mbps lastsnd:4 lastrcv:696 lastack:4 pacing_rate 39.8Mbps delivery_rate 9.6Mbps busy:692ms unacked:555 rcv_space:14480 rcv_ssthresh:42242 notsent:2997360 minrtt:21.537
1619717952.902957, 	 reno wscale:8,9 rto:544 rtt:341.703/14.012 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:585 bytes_acked:832601 segs_out:1162 segs_in:207 data_segs_out:1160 send 19.8Mbps lastrcv:728 pacing_rate 39.7Mbps delivery_rate 9.6Mbps busy:724ms unacked:585 rcv_space:14480 rcv_ssthresh:42242 notsent:2910480 minrtt:21.537
1619717952.935926, 	 reno wscale:8,9 rto:560 rtt:359.031/15.227 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:612 bytes_acked:871697 segs_out:1216 segs_in:216 data_segs_out:1214 send 19.7Mbps lastsnd:4 lastrcv:764 lastack:4 pacing_rate 39.5Mbps delivery_rate 9.5Mbps busy:760ms unacked:612 rcv_space:14480 rcv_ssthresh:42242 notsent:2897448 minrtt:21.537
1619717952.967816, 	 reno wscale:8,9 rto:576 rtt:375.344/14.291 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:639 bytes_acked:910793 segs_out:1270 segs_in:225 data_segs_out:1268 send 19.7Mbps lastsnd:4 lastrcv:796 lastack:4 pacing_rate 39.4Mbps delivery_rate 9.5Mbps busy:792ms unacked:639 rcv_space:14480 rcv_ssthresh:42242 notsent:2819256 minrtt:21.537
1619717953.003680, 	 reno wscale:8,9 rto:596 rtt:393.597/14.58 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:669 bytes_acked:954233 segs_out:1330 segs_in:235 data_segs_out:1328 send 19.7Mbps lastrcv:832 pacing_rate 39.4Mbps delivery_rate 9.5Mbps busy:828ms unacked:669 rcv_space:14480 rcv_ssthresh:42242 notsent:2732376 minrtt:21.537
1619717953.038720, 	 reno wscale:8,9 rto:612 rtt:409.983/14.423 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:696 bytes_acked:993329 segs_out:1384 segs_in:244 data_segs_out:1382 send 19.7Mbps lastrcv:864 pacing_rate 39.3Mbps delivery_rate 9.5Mbps busy:860ms unacked:696 rcv_space:14480 rcv_ssthresh:42242 notsent:2719344 minrtt:21.537
1619717953.071775, 	 reno wscale:8,9 rto:628 rtt:426.223/14.633 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:723 bytes_acked:1032425 segs_out:1438 segs_in:253 data_segs_out:1436 send 19.6Mbps lastrcv:896 pacing_rate 39.3Mbps delivery_rate 9.5Mbps busy:892ms unacked:723 rcv_space:14480 rcv_ssthresh:42242 notsent:2641152 minrtt:21.537
1619717953.101709, 	 reno wscale:8,9 rto:644 rtt:440.396/14.068 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:747 bytes_acked:1067177 segs_out:1486 segs_in:261 data_segs_out:1484 send 19.6Mbps lastsnd:4 lastrcv:928 lastack:4 pacing_rate 39.3Mbps delivery_rate 9.6Mbps busy:924ms unacked:747 rcv_space:14480 rcv_ssthresh:42242 notsent:2636808 minrtt:21.537
1619717953.131744, 	 reno wscale:8,9 rto:656 rtt:455.519/14.868 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:771 bytes_acked:1101929 segs_out:1534 segs_in:269 data_segs_out:1532 send 19.6Mbps lastrcv:956 pacing_rate 39.2Mbps delivery_rate 9.5Mbps busy:952ms unacked:771 rcv_space:14480 rcv_ssthresh:42242 notsent:2567304 minrtt:21.537
1619717953.160697, 	 reno wscale:8,9 rto:676 rtt:472.326/14.815 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:798 bytes_acked:1141025 segs_out:1588 segs_in:278 data_segs_out:1586 send 19.6Mbps lastrcv:988 pacing_rate 39.1Mbps delivery_rate 9.5Mbps busy:984ms unacked:798 rcv_space:14480 rcv_ssthresh:42242 notsent:2554272 minrtt:21.537
1619717953.192479, 	 reno wscale:8,9 rto:688 rtt:487.993/15.799 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:822 bytes_acked:1175777 segs_out:1636 segs_in:286 data_segs_out:1634 send 19.5Mbps lastrcv:1020 pacing_rate 39.0Mbps delivery_rate 9.5Mbps busy:1016ms unacked:822 rcv_space:14480 rcv_ssthresh:42242 notsent:2484768 minrtt:21.537
1619717953.227814, 	 reno wscale:8,9 rto:708 rtt:506.378/14.427 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:852 bytes_acked:1219217 segs_out:1696 segs_in:296 data_segs_out:1694 send 19.5Mbps lastrcv:1056 pacing_rate 39.0Mbps delivery_rate 9.5Mbps busy:1052ms unacked:852 rcv_space:14480 rcv_ssthresh:42242 notsent:2397888 minrtt:21.537
1619717953.259371, 	 reno wscale:8,9 rto:724 rtt:522.805/14.5 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:879 bytes_acked:1258313 segs_out:1750 segs_in:305 data_segs_out:1748 send 19.5Mbps lastrcv:1088 pacing_rate 39.0Mbps delivery_rate 9.5Mbps busy:1084ms unacked:879 rcv_space:14480 rcv_ssthresh:42242 notsent:2319696 minrtt:21.537
1619717953.293140, 	 reno wscale:8,9 rto:740 rtt:536.623/13.493 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:903 bytes_acked:1293065 segs_out:1798 segs_in:313 data_segs_out:1796 send 19.5Mbps lastrcv:1116 pacing_rate 39.0Mbps delivery_rate 9.5Mbps busy:1112ms unacked:903 rcv_space:14480 rcv_ssthresh:42242 notsent:2315352 minrtt:21.537
1619717953.323019, 	 reno wscale:8,9 rto:756 rtt:553.01/14.506 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:930 bytes_acked:1332161 segs_out:1852 segs_in:322 data_segs_out:1850 send 19.5Mbps lastsnd:4 lastrcv:1152 lastack:4 pacing_rate 39.0Mbps delivery_rate 9.5Mbps busy:1148ms unacked:930 rcv_space:14480 rcv_ssthresh:42242 notsent:2237160 minrtt:21.537
1619717953.356176, 	 reno wscale:8,9 rto:776 rtt:572.665/15.604 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:960 bytes_acked:1375601 segs_out:1912 segs_in:332 data_segs_out:1910 send 19.4Mbps lastrcv:1188 pacing_rate 38.8Mbps delivery_rate 9.5Mbps busy:1184ms unacked:960 rcv_space:14480 rcv_ssthresh:42242 notsent:2215440 minrtt:21.537
