1619716789.454510, 0
1619716789.491195, 0
1619716789.512158, 0
1619716789.529144, 3
1619716789.547154, 2
1619716789.564637, 3
1619716789.581210, 9
1619716789.603211, 17
1619716789.619191, 21
1619716789.639145, 23
1619716789.656400, 27
1619716789.673891, 34
1619716789.689187, 37
1619716789.708296, 41
1619716789.724515, 47
1619716789.741260, 50
1619716789.759196, 57
1619716789.776449, 61
1619716789.799245, 66
1619716789.816337, 74
1619716789.840431, 79
1619716789.860469, 86
1619716789.879096, 89
1619716789.900205, 96
1619716789.917267, 99
1619716789.933257, 99
1619716789.954547, 99
1619716789.971243, 99
1619716789.990266, 99
1619716790.008758, 100
1619716790.041361, 100
1619716790.059314, 99
1619716790.076328, 99
1619716790.092330, 100
1619716790.113303, 100
1619716790.134065, 99
1619716790.150316, 99
1619716790.168409, 100
1619716790.184656, 100
1619716790.210194, 100
1619716790.230600, 99
1619716790.248377, 99
1619716790.278190, 100
1619716790.296206, 99
1619716790.314782, 100
1619716790.336645, 99
1619716790.357589, 99
1619716790.374357, 99
1619716790.404317, 99
1619716790.423380, 100
1619716790.440488, 100
1619716790.456929, 99
1619716790.473382, 99
1619716790.502429, 100
1619716790.520545, 99
1619716790.537506, 100
1619716790.566559, 99
1619716790.585499, 100
1619716790.604831, 100
1619716790.644209, 100
1619716790.667619, 98
1619716790.684677, 100
1619716790.704602, 100
1619716790.724578, 99
1619716790.744918, 99
1619716790.763621, 99
1619716790.783724, 100
1619716790.800681, 100
1619716790.818783, 100
1619716790.840766, 98
1619716790.861688, 98
1619716790.878744, 99
1619716790.902878, 100
1619716790.922003, 98
1619716790.939174, 99
1619716790.955361, 100
1619716790.971985, 100
1619716790.999328, 98
1619716791.020151, 96
1619716791.036655, 100
1619716791.063818, 99
1619716791.086508, 98
1619716791.103586, 97
1619716791.126912, 96
1619716791.144353, 98
1619716791.164903, 97
1619716791.186753, 96
1619716791.205346, 99
1619716791.241502, 96
1619716791.267894, 96
1619716791.287834, 96
1619716791.309296, 100
1619716791.333598, 100
1619716791.351490, 98
1619716791.370215, 99
1619716791.390530, 100
1619716791.408932, 99
1619716791.427692, 95
1619716791.444537, 96
1619716791.461400, 97
1619716791.479675, 98
1619716791.498925, 100
1619716791.517137, 99
1619716791.535114, 99
1619716791.552340, 100
1619716791.574514, 96
1619716791.592642, 95
1619716791.611767, 96
1619716791.631358, 96
1619716791.649250, 99
1619716791.668374, 100
1619716791.684878, 99
1619716791.701321, 100
1619716791.720716, 97
1619716791.740398, 93
1619716791.760203, 87
1619716791.777973, 78
1619716791.804191, 76
1619716791.831452, 73
1619716791.863256, 72
1619716791.881907, 71
1619716791.898164, 68
1619716791.919372, 67
1619716791.936845, 68
1619716791.954223, 66
1619716791.973316, 65
1619716791.990354, 63
1619716792.018462, 56
1619716792.052210, 55
1619716792.073872, 50
1619716792.090653, 46
1619716792.115574, 44
1619716792.137227, 36
1619716792.154801, 38
1619716792.174154, 35
1619716792.192285, 37
1619716792.214659, 37
1619716792.235234, 35
1619716792.253895, 37
1619716792.278873, 36
1619716792.297574, 36
1619716792.322329, 37
1619716792.351793, 37
1619716792.369259, 38
1619716792.388212, 38
1619716792.424725, 38
1619716792.450238, 37
1619716792.468893, 37
