1619718104.780565, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32860336 lastrcv:32860336 lastack:32860336 unacked:1 rcv_ssthresh:42340
1619718104.815820, 	 reno wscale:8,9 rto:252 rtt:49.926/24.963 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.3Mbps lastsnd:16 lastrcv:16 lastack:16 pacing_rate 4.6Mbps busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:49.926
1619718104.863154, 	 reno wscale:8,9 rto:232 rtt:31.468/10.087 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_acked:13033 segs_out:36 segs_in:12 data_segs_out:34 send 3.3Mbps lastrcv:68 pacing_rate 8.8Mbps delivery_rate 5.8Mbps busy:68ms unacked:21 retrans:3/4 lost:3 sacked:12 rcv_space:14480 rcv_ssthresh:42242 notsent:89776 minrtt:21
1619718104.913321, 	 reno wscale:8,9 rto:228 rtt:25.45/2.507 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:9 ssthresh:9 bytes_acked:52129 segs_out:53 segs_in:24 data_segs_out:51 send 4.1Mbps lastsnd:8 lastrcv:112 lastack:8 pacing_rate 4.9Mbps delivery_rate 4.4Mbps busy:112ms unacked:9 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:78192 minrtt:21
1619718104.954508, 	 reno wscale:8,9 rto:228 rtt:24.193/1.152 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:11 ssthresh:9 bytes_acked:73849 segs_out:69 segs_in:32 data_segs_out:67 send 5.3Mbps lastsnd:4 lastrcv:148 lastack:4 pacing_rate 6.3Mbps delivery_rate 4.8Mbps busy:148ms unacked:10 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:55024 minrtt:21
1619718104.986423, 	 reno wscale:8,9 rto:224 rtt:23.332/0.772 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:12 ssthresh:9 bytes_acked:95569 segs_out:85 segs_in:41 data_segs_out:83 send 6.0Mbps lastsnd:4 lastrcv:180 lastack:4 pacing_rate 7.1Mbps delivery_rate 4.9Mbps busy:180ms unacked:11 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:121632 minrtt:21
1619718105.016381, 	 reno wscale:8,9 rto:228 rtt:24.242/1.432 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:13 ssthresh:9 bytes_acked:114393 segs_out:99 segs_in:48 data_segs_out:97 send 6.2Mbps lastrcv:208 pacing_rate 7.5Mbps delivery_rate 5.3Mbps busy:208ms unacked:12 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:101360 minrtt:21
1619718105.046272, 	 reno wscale:8,9 rto:228 rtt:24.242/1.448 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:14 ssthresh:9 bytes_acked:134665 segs_out:115 segs_in:55 data_segs_out:113 send 6.7Mbps lastsnd:4 lastrcv:240 lastack:4 pacing_rate 8.0Mbps delivery_rate 5.6Mbps busy:240ms unacked:14 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:78192 minrtt:20.971
1619718105.079312, 	 reno wscale:8,9 rto:228 rtt:24.089/0.805 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:16 ssthresh:9 bytes_acked:167969 segs_out:140 segs_in:67 data_segs_out:138 send 7.7Mbps lastrcv:272 pacing_rate 9.2Mbps delivery_rate 6.8Mbps busy:272ms unacked:16 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:118736 minrtt:20.971
1619718105.111957, 	 reno wscale:8,9 rto:228 rtt:25.801/1.947 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:17 ssthresh:9 bytes_acked:194033 segs_out:158 segs_in:76 data_segs_out:156 send 7.6Mbps lastrcv:304 pacing_rate 9.2Mbps delivery_rate 6.6Mbps busy:304ms unacked:16 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:92672 minrtt:20.971
1619718105.138974, 	 reno wscale:8,9 rto:224 rtt:23.932/1.374 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:18 ssthresh:9 bytes_acked:220097 segs_out:177 segs_in:85 data_segs_out:175 send 8.7Mbps lastrcv:328 pacing_rate 10.5Mbps delivery_rate 7.4Mbps busy:328ms unacked:17 retrans:0/6 rcv_space:14480 rcv_ssthresh:42242 notsent:130320 minrtt:20.971
