1619716969.745871, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:31725300 lastrcv:31725300 lastack:31725300 unacked:1 rcv_ssthresh:42340
1619716969.775602, 	 reno wscale:8,9 rto:248 rtt:44.937/22.468 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.6Mbps lastsnd:12 lastrcv:12 lastack:12 pacing_rate 5.2Mbps busy:12ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:44.937
1619716969.804688, 	 reno wscale:8,9 rto:240 rtt:36.053/14.338 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:20 bytes_acked:14481 segs_out:32 segs_in:6 data_segs_out:30 send 6.4Mbps lastsnd:8 lastrcv:40 lastack:8 pacing_rate 12.9Mbps delivery_rate 3.8Mbps app_limited busy:40ms unacked:20 rcv_space:14480 rcv_ssthresh:42242 notsent:66608 minrtt:22.032
1619716969.833513, 	 reno wscale:8,9 rto:232 rtt:30.285/3.246 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:42 bytes_acked:46337 segs_out:76 segs_in:17 data_segs_out:74 send 16.1Mbps lastrcv:68 pacing_rate 32.1Mbps delivery_rate 9.5Mbps busy:68ms unacked:42 rcv_space:14480 rcv_ssthresh:42242 notsent:31856 minrtt:22.032
1619716969.861840, 	 reno wscale:8,9 rto:236 rtt:34.422/5.281 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:68 bytes_acked:83985 segs_out:126 segs_in:30 data_segs_out:124 send 22.9Mbps lastrcv:100 pacing_rate 45.8Mbps delivery_rate 9.5Mbps busy:100ms unacked:66 rcv_space:14480 rcv_ssthresh:42242 notsent:264984 minrtt:22.032
1619716969.893112, 	 reno wscale:8,9 rto:248 rtt:46.517/8.129 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:92 bytes_acked:118737 segs_out:176 segs_in:42 data_segs_out:174 send 22.9Mbps lastrcv:132 pacing_rate 45.8Mbps delivery_rate 9.7Mbps busy:132ms unacked:92 rcv_space:14480 rcv_ssthresh:42242 notsent:453224 minrtt:22.032
1619716969.921705, 	 reno wscale:8,9 rto:264 rtt:60.774/11.857 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:122 bytes_acked:162177 segs_out:236 segs_in:52 data_segs_out:234 send 23.3Mbps lastrcv:164 pacing_rate 46.5Mbps delivery_rate 9.7Mbps busy:164ms unacked:122 rcv_space:14480 rcv_ssthresh:42242 notsent:822464 minrtt:22.032
1619716969.960010, 	 reno wscale:8,9 rto:280 rtt:76.564/13.701 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:149 bytes_acked:201273 segs_out:288 segs_in:61 data_segs_out:286 send 22.5Mbps lastrcv:196 pacing_rate 45.1Mbps delivery_rate 9.7Mbps busy:196ms unacked:147 rcv_space:14480 rcv_ssthresh:42242 notsent:747168 minrtt:22.032
1619716969.989022, 	 reno wscale:8,9 rto:292 rtt:89.697/14.684 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:170 bytes_acked:231681 segs_out:332 segs_in:68 data_segs_out:330 send 22.0Mbps lastrcv:224 pacing_rate 43.9Mbps delivery_rate 9.5Mbps busy:224ms unacked:170 rcv_space:14480 rcv_ssthresh:42242 notsent:1139576 minrtt:22.032
1619716970.019911, 	 reno wscale:8,9 rto:308 rtt:105.554/14.072 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:196 bytes_acked:269329 segs_out:384 segs_in:77 data_segs_out:382 send 21.5Mbps lastrcv:256 pacing_rate 43.0Mbps delivery_rate 9.6Mbps busy:256ms unacked:196 rcv_space:14480 rcv_ssthresh:42242 notsent:1064280 minrtt:22.032
1619716970.048009, 	 reno wscale:8,9 rto:320 rtt:119.424/14.387 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:220 bytes_acked:304081 segs_out:432 segs_in:85 data_segs_out:430 send 21.3Mbps lastrcv:284 pacing_rate 42.7Mbps delivery_rate 9.6Mbps busy:284ms unacked:220 rcv_space:14480 rcv_ssthresh:42242 notsent:1190256 minrtt:22.032
