1619717778.398683, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32533968 lastrcv:32533968 lastack:32533968 unacked:1 rcv_ssthresh:42340
1619717778.445937, 	 reno rto:1000 mss:524 pmtu:1500 rcvmss:88 advmss:1460 cwnd:10 segs_out:1 lastsnd:32534000 lastrcv:32534000 lastack:32534000 unacked:1 rcv_ssthresh:42340
1619717778.477932, 	 reno wscale:8,9 rto:244 rtt:42.87/21.435 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:10 bytes_acked:1 segs_out:12 segs_in:1 data_segs_out:10 send 2.7Mbps lastsnd:16 lastrcv:20 lastack:20 pacing_rate 5.4Mbps busy:16ms unacked:10 rcv_space:14480 rcv_ssthresh:42242 notsent:95568 minrtt:42.87
1619717778.505882, 	 reno wscale:8,9 rto:232 rtt:31.631/10.651 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:26 bytes_acked:23169 segs_out:44 segs_in:9 data_segs_out:42 send 9.5Mbps lastrcv:52 pacing_rate 19.0Mbps delivery_rate 5.5Mbps busy:48ms unacked:26 rcv_space:14480 rcv_ssthresh:42242 notsent:49232 minrtt:21.942
1619717778.538937, 	 reno wscale:8,9 rto:232 rtt:29.961/2.897 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:48 bytes_acked:55025 segs_out:87 segs_in:20 data_segs_out:85 send 18.6Mbps lastrcv:80 pacing_rate 37.1Mbps delivery_rate 9.2Mbps busy:76ms unacked:47 rcv_space:14480 rcv_ssthresh:42242 notsent:321456 minrtt:21.942
1619717778.565903, 	 reno wscale:8,9 rto:240 rtt:38.503/5.472 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:78 bytes_acked:98465 segs_out:147 segs_in:35 data_segs_out:145 send 23.5Mbps lastsnd:4 lastrcv:116 lastack:4 pacing_rate 46.9Mbps delivery_rate 10.3Mbps busy:112ms unacked:77 rcv_space:14480 rcv_ssthresh:42242 notsent:495216 minrtt:21.942
1619717778.601028, 	 reno wscale:8,9 rto:252 rtt:50.616/9.365 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:101 bytes_acked:131769 segs_out:192 segs_in:45 data_segs_out:190 send 23.1Mbps lastrcv:144 pacing_rate 46.2Mbps delivery_rate 9.5Mbps busy:140ms unacked:99 rcv_space:14480 rcv_ssthresh:42242 notsent:430056 minrtt:21.942
1619717778.629961, 	 reno wscale:8,9 rto:264 rtt:62.145/11.354 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:125 bytes_acked:166521 segs_out:240 segs_in:53 data_segs_out:238 send 23.3Mbps lastsnd:8 lastrcv:176 lastack:8 pacing_rate 46.6Mbps delivery_rate 9.8Mbps busy:172ms unacked:123 rcv_space:14480 rcv_ssthresh:42242 notsent:686352 minrtt:21.942
1619717778.659009, 	 reno wscale:8,9 rto:284 rtt:81.546/13.913 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:158 bytes_acked:214305 segs_out:308 segs_in:64 data_segs_out:306 send 22.4Mbps lastsnd:4 lastrcv:212 lastack:4 pacing_rate 44.9Mbps delivery_rate 9.7Mbps busy:208ms unacked:158 rcv_space:14480 rcv_ssthresh:42242 notsent:978848 minrtt:21.942
1619717778.699244, 	 reno wscale:8,9 rto:300 rtt:96.506/13.194 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:185 bytes_acked:253401 segs_out:360 segs_in:73 data_segs_out:358 send 22.2Mbps lastrcv:244 pacing_rate 44.4Mbps delivery_rate 9.8Mbps busy:240ms unacked:183 rcv_space:14480 rcv_ssthresh:42242 notsent:903552 minrtt:21.942
1619717778.731009, 	 reno wscale:8,9 rto:312 rtt:111.762/14.474 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:209 bytes_acked:288153 segs_out:408 segs_in:81 data_segs_out:406 send 21.7Mbps lastrcv:272 pacing_rate 43.3Mbps delivery_rate 9.6Mbps busy:268ms unacked:207 rcv_space:14480 rcv_ssthresh:42242 notsent:1290168 minrtt:21.942
1619717778.756424, 	 reno wscale:8,9 rto:328 rtt:126.47/14.303 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:233 bytes_acked:322905 segs_out:456 segs_in:89 data_segs_out:454 send 21.3Mbps lastsnd:4 lastrcv:304 lastack:4 pacing_rate 42.7Mbps delivery_rate 9.6Mbps busy:300ms unacked:231 rcv_space:14480 rcv_ssthresh:42242 notsent:1220664 minrtt:21.942
1619717778.787842, 	 reno wscale:8,9 rto:344 rtt:140.63/13.743 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:257 bytes_acked:357657 segs_out:504 segs_in:97 data_segs_out:502 send 21.2Mbps lastrcv:332 pacing_rate 42.3Mbps delivery_rate 9.6Mbps busy:328ms unacked:255 rcv_space:14480 rcv_ssthresh:42242 notsent:1672440 minrtt:21.942
1619717778.813810, 	 reno wscale:8,9 rto:356 rtt:155.244/14.098 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:281 bytes_acked:392409 segs_out:552 segs_in:105 data_segs_out:550 send 21.0Mbps lastrcv:360 pacing_rate 41.9Mbps delivery_rate 9.6Mbps busy:356ms unacked:279 rcv_space:14480 rcv_ssthresh:42242 notsent:1602936 minrtt:21.942
1619717778.845746, 	 reno wscale:8,9 rto:372 rtt:171.881/15.051 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:307 bytes_acked:430057 segs_out:606 segs_in:114 data_segs_out:604 send 20.7Mbps lastrcv:392 pacing_rate 41.4Mbps delivery_rate 9.5Mbps busy:388ms unacked:307 rcv_space:14480 rcv_ssthresh:42242 notsent:1980864 minrtt:21.942
1619717778.880658, 	 reno wscale:8,9 rto:392 rtt:188.41/14.023 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:332 bytes_acked:466257 segs_out:656 segs_in:123 data_segs_out:654 send 20.4Mbps lastrcv:424 pacing_rate 40.8Mbps delivery_rate 9.5Mbps busy:420ms unacked:332 rcv_space:14480 rcv_ssthresh:42242 notsent:1908464 minrtt:21.942
1619717778.908168, 	 reno wscale:8,9 rto:404 rtt:202.433/14.116 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:356 bytes_acked:501009 segs_out:702 segs_in:131 data_segs_out:700 send 20.4Mbps lastrcv:452 pacing_rate 40.7Mbps delivery_rate 9.5Mbps busy:448ms unacked:354 rcv_space:14480 rcv_ssthresh:42242 notsent:2297976 minrtt:21.942
1619717778.938147, 	 reno wscale:8,9 rto:420 rtt:216.857/13.703 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:380 bytes_acked:535761 segs_out:750 segs_in:139 data_segs_out:748 send 20.3Mbps lastsnd:4 lastrcv:484 lastack:4 pacing_rate 40.6Mbps delivery_rate 9.6Mbps busy:480ms unacked:378 rcv_space:14480 rcv_ssthresh:42242 notsent:2228472 minrtt:21.942
1619717778.965288, 	 reno wscale:8,9 rto:432 rtt:230.212/13.18 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:403 bytes_acked:569065 segs_out:797 segs_in:147 data_segs_out:795 send 20.3Mbps lastsnd:4 lastrcv:512 lastack:4 pacing_rate 40.6Mbps delivery_rate 9.6Mbps busy:508ms unacked:402 rcv_space:14480 rcv_ssthresh:42242 notsent:2616536 minrtt:21.942
1619717778.995535, 	 reno wscale:8,9 rto:448 rtt:246.325/13.123 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:428 bytes_acked:605265 segs_out:848 segs_in:156 data_segs_out:846 send 20.1Mbps lastrcv:540 pacing_rate 40.3Mbps delivery_rate 9.6Mbps busy:536ms unacked:428 rcv_space:14480 rcv_ssthresh:42242 notsent:2542688 minrtt:21.942
1619717779.022258, 	 reno wscale:8,9 rto:464 rtt:261.654/15.291 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:452 bytes_acked:640017 segs_out:894 segs_in:164 data_segs_out:892 send 20.0Mbps lastsnd:4 lastrcv:572 lastack:4 pacing_rate 40.0Mbps delivery_rate 9.4Mbps busy:568ms unacked:450 rcv_space:14480 rcv_ssthresh:42242 notsent:2867040 minrtt:21.942
1619717779.058283, 	 reno wscale:8,9 rto:480 rtt:277.636/14.232 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:479 bytes_acked:679113 segs_out:948 segs_in:173 data_segs_out:946 send 20.0Mbps lastsnd:4 lastrcv:604 lastack:4 pacing_rate 40.0Mbps delivery_rate 9.5Mbps busy:600ms unacked:477 rcv_space:14480 rcv_ssthresh:42242 notsent:2788848 minrtt:21.942
1619717779.089956, 	 reno wscale:8,9 rto:496 rtt:293.797/13.879 mss:1448 pmtu:1500 rcvmss:536 advmss:1448 cwnd:503 bytes_acked:713865 segs_out:998 segs_in:182 data_segs_out:996 send 19.8Mbps lastrcv:632 pacing_rate 39.7Mbps delivery_rate 9.5Mbps busy:628ms unacked:503 rcv_space:14480 rcv_ssthresh:42242 notsent:3172568 minrtt:21.942
